NOTA_ID;ALUNO;ATIVIDADE;NOTA
368;16;23;10
369;17;1;7
370;17;2;10
371;17;3;6
372;17;4;5
373;17;5;7
374;17;6;1
375;17;7;4
376;17;8;1
377;17;9;1
378;17;10;1
379;17;11;8
380;17;12;3
381;17;13;2
382;17;14;3
383;17;15;8
384;17;16;5
385;17;17;2
386;17;18;2
387;17;19;5
388;17;20;8
389;17;21;7
390;17;22;2
391;17;23;9
392;18;1;6
393;18;2;9
394;18;3;2
395;18;4;4
396;18;5;2
397;18;6;3
398;18;7;1
399;18;8;3
400;18;9;2
401;18;10;4
402;18;11;3
403;18;12;8
404;18;13;3
405;18;14;7
406;18;15;1
407;18;16;5
408;18;17;2
409;18;18;3
410;18;19;4
411;18;20;2
412;18;21;2
413;18;22;5
414;18;23;10
415;19;1;7
416;19;2;2
417;19;3;6
418;19;4;5
419;19;5;1
420;19;6;2
421;19;7;4
422;19;8;4
423;19;9;9
424;19;10;3
425;19;11;1
426;19;12;3
427;19;13;5
428;19;14;6
429;19;15;8
430;19;16;4
431;19;17;4
432;19;18;3
433;19;19;2
434;19;20;5
435;19;21;5
436;19;22;6
437;19;23;4
438;20;1;5
439;20;2;6
440;20;3;6
441;20;4;5
442;20;5;3
443;20;6;9
444;20;7;9
445;20;8;1
446;20;9;2
447;20;10;8
448;20;11;2
449;20;12;2
450;20;13;8
451;20;14;4
452;20;15;8
453;20;16;2
454;20;17;0
455;20;18;3
456;20;19;6
457;20;20;6
458;20;21;8
459;20;22;3
460;20;23;6
461;21;1;5
462;21;2;9
463;21;3;8
464;21;4;5
465;21;5;5
466;21;6;7
467;21;7;2
468;21;8;2
469;21;9;3
470;21;10;8
471;21;11;1
472;21;12;3
473;21;13;5
474;21;14;7
475;21;15;1
476;21;16;4
477;21;17;5
478;21;18;5
479;21;19;8
480;21;20;9
481;21;21;7
482;21;22;8
483;21;23;2
484;22;1;9
485;22;2;3
486;22;3;5
487;22;4;4
488;22;5;5
489;22;6;8
490;22;7;7
491;22;8;3
492;22;9;3
493;22;10;8
494;22;11;3
495;22;12;1
496;22;13;8
497;22;14;1
498;22;15;7
499;22;16;8
500;22;17;3
501;22;18;6
502;22;19;7
503;22;20;3
504;22;21;8
505;22;22;5
506;22;23;6
507;23;1;6
508;23;2;7
509;23;3;4
510;23;4;4
511;23;5;3
512;23;6;1
513;23;7;8
514;23;8;8
515;23;9;2
516;23;10;4
517;23;11;2
518;23;12;9
519;23;13;1
520;23;14;0
521;23;15;3
522;23;16;2
523;23;17;4
524;23;18;3
525;23;19;7
526;23;20;9
527;23;21;9
528;23;22;8
529;23;23;8
530;24;1;3
531;24;2;3
532;24;3;9
533;24;4;1
534;24;5;3
535;24;6;1
536;24;7;5
537;24;8;2
538;24;9;9
539;24;10;5
540;24;11;4
541;24;12;4
542;24;13;4
543;24;14;7
544;24;15;5
545;24;16;8
546;24;17;4
547;24;18;9
548;24;19;2
549;24;20;4
550;24;21;5
551;24;22;9
552;24;23;4
553;25;1;9
554;25;2;4
555;25;3;8
556;25;4;5
557;25;5;1
558;25;6;3
559;25;7;5
560;25;8;2
561;25;9;8
562;25;10;4
563;25;11;8
564;25;12;7
565;25;13;8
566;25;14;4
567;25;15;2
568;25;16;7
569;25;17;8
570;25;18;4
571;25;19;8
572;25;20;1
573;25;21;7
574;25;22;6
575;25;23;8
576;26;1;7
577;26;2;1
578;26;3;9
579;26;4;2
580;26;5;2
581;26;6;8
582;26;7;8
583;26;8;9
584;26;9;8
585;26;10;2
586;26;11;4
587;26;12;8
588;26;13;1
589;26;14;7
590;26;15;4
591;26;16;7
592;26;17;7
593;26;18;6
594;26;19;4
595;26;20;8
596;26;21;8
597;26;22;2
598;26;23;9
599;27;1;9
600;27;2;3
601;27;3;4
602;27;4;3
603;27;5;4
604;27;6;2
605;27;7;7
606;27;8;3
607;27;9;3
608;27;10;4
609;27;11;3
610;27;12;7
611;27;13;5
612;27;14;7
613;27;15;5
614;27;16;8
615;27;17;8
616;27;18;4
617;27;19;6
618;27;20;7
619;27;21;6
620;27;22;8
621;27;23;3
622;28;1;4
623;28;2;2
624;28;3;8
625;28;4;7
626;28;5;6
627;28;6;7
628;28;7;7
629;28;8;8
630;28;9;3
631;28;10;3
632;28;11;8
633;28;12;8
634;28;13;6
635;28;14;7
636;28;15;7
637;28;16;8
638;28;17;4
639;28;18;7
640;28;19;8
641;28;20;8
642;28;21;4
643;28;22;5
644;28;23;8
645;29;1;9
646;29;2;4
647;29;3;2
648;29;4;5
649;29;5;9
650;29;6;3
651;29;7;2
652;29;8;3
653;29;9;1
654;29;10;4
655;29;11;8
656;29;12;3
657;29;13;6
658;29;14;7
659;29;15;3
660;29;16;2
661;29;17;3
662;29;18;6
663;29;19;6
664;29;20;3
665;29;21;3
666;29;22;7
667;29;23;9
668;30;1;0
669;30;2;6
670;30;3;4
671;30;4;6
672;30;5;6
673;30;6;7
674;30;7;6
675;30;8;7
676;30;9;3
677;30;10;1
678;30;11;6
679;30;12;2
680;30;13;5
681;30;14;7
682;30;15;3
683;30;16;1
684;30;17;6
685;30;18;3
686;30;19;7
687;30;20;6
688;30;21;3
689;30;22;1
690;30;23;6
691;31;1;8
692;31;2;7
693;31;3;6
694;31;4;4
695;31;5;6
696;31;6;10
697;31;7;10
698;31;8;10
699;31;9;10
700;31;10;10
701;31;11;10
702;31;12;10
703;31;13;10
704;31;14;10
705;31;15;10
706;31;16;10
707;31;17;10
708;31;18;10
709;31;19;10
710;31;20;10
711;31;21;10
712;31;22;10
713;31;23;10
714;32;1;10
715;32;2;10
716;32;3;10
717;32;4;10
718;32;5;10
719;32;6;10
720;32;7;10
721;32;8;10
722;32;9;10
723;32;10;10
724;32;11;10
725;32;12;10
726;32;13;10
727;32;14;10
728;32;15;10
729;32;16;10
730;32;17;10
731;32;18;10
732;32;19;10
733;32;20;10
734;32;21;10
735;32;22;10
736;32;23;10
737;33;1;10
738;33;2;10
739;33;3;10
740;33;4;10
741;33;5;10
742;33;6;10
743;33;7;10
744;33;8;10
745;33;9;10
746;33;10;10
747;33;11;10
748;33;12;10
749;33;13;10
750;33;14;10
751;33;15;10
752;33;16;10
753;33;17;10
754;33;18;10
755;33;19;10
756;33;20;10
757;33;21;10
758;33;22;10
759;33;23;10
760;34;1;10
761;34;2;10
762;34;3;10
763;34;4;10
764;34;5;10
765;34;6;10
766;34;7;10
767;34;8;10
768;34;9;10
769;34;10;10
770;34;11;10
771;34;12;10
772;34;13;10
773;34;14;10
774;34;15;10
775;34;16;10
776;34;17;10
777;34;18;10
778;34;19;10
779;34;20;10
780;34;21;10
781;34;22;10
782;34;23;10
783;35;1;10
784;35;2;10
785;35;3;10
786;35;4;10
787;35;5;10
788;35;6;10
789;35;7;10
790;35;8;10
791;35;9;10
792;35;10;10
793;35;11;10
794;35;12;10
795;35;13;10
796;35;14;10
797;35;15;10
798;35;16;10
799;35;17;10
800;35;18;10
801;35;19;10
802;35;20;10
803;35;21;10
804;35;22;10
805;35;23;10
806;36;1;10
807;36;2;10
808;36;3;10
809;36;4;10
810;36;5;10
811;36;6;10
812;36;7;10
813;36;8;10
814;36;9;10
815;36;10;10
816;36;11;10
817;36;12;10
818;36;13;10
819;36;14;10
820;36;15;10
821;36;16;10
822;36;17;10
823;36;18;10
824;36;19;10
825;36;20;10
826;36;21;10
827;36;22;10
828;36;23;10
829;37;1;10
830;37;2;10
831;37;3;10
832;37;4;10
833;37;5;10
834;37;6;10
835;37;7;10
836;37;8;10
837;37;9;10
838;37;10;10
839;37;11;10
840;37;12;10
841;37;13;10
842;37;14;10
843;37;15;10
844;37;16;10
845;37;17;10
846;37;18;10
847;37;19;10
848;37;20;10
849;37;21;10
850;37;22;10
851;37;23;10
852;38;1;10
853;38;2;10
854;38;3;10
855;38;4;10
856;38;5;10
857;38;6;10
858;38;7;10
859;38;8;10
860;38;9;10
861;38;10;10
862;38;11;10
863;38;12;10
864;38;13;10
865;38;14;10
866;38;15;10
867;38;16;10
868;38;17;10
869;38;18;10
870;38;19;10
871;38;20;10
872;38;21;10
873;38;22;10
874;38;23;10
875;39;1;10
876;39;2;10
877;39;3;10
878;39;4;10
879;39;5;10
880;39;6;10
881;39;7;10
882;39;8;10
883;39;9;10
884;39;10;10
885;39;11;10
886;39;12;10
887;39;13;10
888;39;14;10
889;39;15;10
890;39;16;10
891;39;17;10
892;39;18;10
893;39;19;10
894;39;20;2
895;39;21;7
896;39;22;5
897;39;23;6
898;40;1;1
899;40;2;5
900;40;3;2
901;40;4;5
902;40;5;7
903;40;6;5
904;40;7;4
905;40;8;4
906;40;9;1
907;40;10;4
908;40;11;3
909;40;12;4
910;40;13;7
911;40;14;5
912;40;15;8
913;40;16;7
914;40;17;4
915;40;18;4
916;40;19;2
917;40;20;6
918;40;21;8
919;40;22;4
920;40;23;1
921;41;1;7
922;41;2;3
923;41;3;6
924;41;4;5
925;41;5;2
926;41;6;7
927;41;7;5
928;41;8;4
929;41;9;1
930;41;10;6
931;41;11;7
932;41;12;1
933;41;13;6
934;41;14;5
935;41;15;3
936;41;16;3
937;41;17;8
938;41;18;4
939;41;19;6
940;41;20;7
941;41;21;7
942;41;22;6
943;41;23;5
944;42;1;5
945;42;2;7
946;42;3;6
947;42;4;6
948;42;5;4
949;42;6;7
950;42;7;7
951;42;8;4
952;42;9;2
953;42;10;4
954;42;11;3
955;42;12;1
956;42;13;2
957;42;14;7
958;42;15;1
959;42;16;6
960;42;17;1
961;42;18;7
962;42;19;6
963;42;20;5
964;42;21;1
965;42;22;3
966;42;23;1
967;43;1;1
968;43;2;6
969;43;3;3
970;43;4;5
971;43;5;5
972;43;6;1
973;43;7;5
974;43;8;5
975;43;9;3
976;43;10;4
977;43;11;7
978;43;12;2
979;43;13;6
980;43;14;8
981;43;15;8
982;43;16;1
983;43;17;6
984;43;18;5
985;43;19;4
986;43;20;5
987;43;21;2
988;43;22;4
989;43;23;2
990;44;1;2
991;44;2;6
992;44;3;3
993;44;4;7
994;44;5;6
995;44;6;6
996;44;7;4
997;44;8;2
998;44;9;5
999;44;10;2
1000;44;11;2
1001;44;12;6
1002;44;13;4
1003;44;14;4
1004;44;15;10
1005;44;16;10
1006;44;17;10
1007;44;18;10
1008;44;19;10
1009;44;20;10
1010;44;21;10
1011;44;22;10
1012;44;23;10
1013;45;1;10
1014;45;2;10
1015;45;3;10
1016;45;4;10
1017;45;5;10
1018;45;6;10
1019;45;7;10
1020;45;8;10
1021;45;9;10
1022;45;10;10
1023;45;11;10
1024;45;12;10
1025;45;13;10
1026;45;14;10
1027;45;15;10
1028;45;16;10
1029;45;17;10
1030;45;18;10
1031;45;19;10
1032;45;20;10
1033;45;21;10
1034;45;22;10
1035;45;23;10
1036;46;1;10
1037;46;2;10
1038;46;3;10
1039;46;4;10
1040;46;5;10
1041;46;6;10
1042;46;7;10
1043;46;8;10
1044;46;9;10
1045;46;10;10
1046;46;11;10
1047;46;12;10
1048;46;13;10
1049;46;14;10
1050;46;15;10
1051;46;16;10
1052;46;17;10
1053;46;18;10
1054;46;19;10
1055;46;20;10
1056;46;21;10
1057;46;22;10
1058;46;23;10
1059;47;1;10
1060;47;2;10
1061;47;3;10
1062;47;4;10
1063;47;5;10
1064;47;6;10
1065;47;7;10
1066;47;8;10
1067;47;9;10
1068;47;10;10
1069;47;11;0
1070;47;12;3
1071;47;13;0
1072;47;14;7
1073;47;15;6
1074;47;16;2
1075;47;17;3
1076;47;18;5
1077;47;19;5
1078;47;20;1
1079;47;21;7
1080;47;22;5
1081;47;23;4
1082;48;1;6
1083;48;2;5
1084;48;3;6
1085;48;4;5
1086;48;5;5
1087;48;6;2
1088;48;7;5
1089;48;8;3
1090;48;9;1
1091;48;10;7
1092;48;11;7
1093;48;12;2
1094;48;13;6
1095;48;14;2
1096;48;15;4
1097;48;16;7
1098;48;17;2
1099;48;18;6
1100;48;19;5
1101;48;20;6
1102;48;21;6
1103;48;22;8
1104;48;23;1
1105;49;1;6
1106;49;2;2
1107;49;3;7
1108;49;4;4
1109;49;5;5
1110;49;6;6
1111;49;7;4
1112;49;8;7
1113;49;9;2
1114;49;10;4
1115;49;11;2
1116;49;12;3
1117;49;13;6
1118;49;14;6
1119;49;15;7
1120;49;16;2
1121;49;17;8
1122;49;18;8
1123;49;19;2
1124;49;20;6
1125;49;21;5
1126;49;22;2
1127;49;23;10
1128;50;1;8
1129;50;2;6
1130;50;3;4
1131;50;4;3
1132;50;5;1
1133;50;6;7
1134;50;7;1
1135;50;8;6
1136;50;9;7
1137;50;10;4
1138;50;11;8
1139;50;12;8
1140;50;13;8
1141;50;14;8
1142;50;15;8
1143;50;16;8
1144;50;17;8
1145;50;18;8
1146;50;19;8
1147;50;20;8
1148;50;21;8
1149;50;22;8
1150;50;23;8
